date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2023-02-02,2619.79,2631.86,2602.32,2598.12,15842164.0,-11.37,-0.43,2599.34,2569.024,2485.919,15580361.8,14210115.1,13184474.85
2023-02-01,2592.45,2613.69,2613.69,2572.33,15502624.0,32.85,1.27,2593.164,2554.641,2472.716,14727015.4,13696466.1,12862232.9
2023-01-31,2608.12,2618.28,2580.84,2575.53,14659364.0,-33.05,-1.26,2579.206,2537.869,2460.006,13625442.2,13403465.7,12623825.4
2023-01-30,2657.39,2661.28,2613.89,2611.13,20292188.0,27.93,1.08,2572.148,2527.186,2447.535,12966285.6,13233827.3,12369797.15
2023-01-20,2580.27,2588.89,2585.96,2571.83,11605469.0,14.52,0.56,2557.274,2509.834,2431.15,12619344.0,12580524.1,11795045.5
2023-01-19,2539.89,2571.44,2571.44,2531.96,11575432.0,27.54,1.08,2538.708,2493.452,2416.618,12839868.4,12773054.3,11728721.85
2023-01-18,2548.7,2555.69,2543.9,2534.43,9994758.0,-1.65,-0.07,2516.118,2476.254,2403.231,12665916.8,13183451.3,11578994.6
2023-01-17,2540.57,2556.64,2545.55,2535.18,11363581.0,6.03,0.24,2496.532,2455.376,2391.576,13181489.2,13355302.0,11528351.25
2023-01-16,2490.72,2566.69,2539.52,2490.72,18557480.0,46.39,1.86,2482.224,2436.463,2381.633,13501369.0,13514007.7,11555963.75
2023-01-13,2475.14,2493.13,2493.13,2462.87,12708091.0,34.64,1.41,2462.394,2417.188,2373.343,12541704.2,12529064.6,11136097.95
2023-01-12,2455.73,2477.01,2458.49,2448.76,10705674.0,12.52,0.51,2448.196,2402.813,2368.643,12706240.2,12158834.6,11057320.55
2023-01-11,2470.64,2480.16,2445.97,2442.73,12572620.0,-28.04,-1.13,2436.39,2390.79,2364.122,13700985.8,12027999.7,11128162.85
2023-01-10,2441.5,2478.89,2474.01,2435.19,12962980.0,33.64,1.38,2414.22,2382.143,2360.634,13529114.8,11844185.1,11145556.3
2023-01-09,2433.35,2455.6,2440.37,2427.81,13759156.0,18.23,0.75,2390.702,2367.883,2357.009,13526646.4,11505767.0,11162726.2
2023-01-06,2392.65,2442.23,2422.14,2391.33,13530771.0,22.68,0.94,2371.982,2352.465,2356.022,12516425.0,11009566.9,11326317.8
2023-01-05,2343.78,2405.43,2399.46,2343.72,15679402.0,64.34,2.75,2357.43,2339.783,2355.506,11611429.0,10684389.4,11297577.7
2023-01-04,2347.0,2352.33,2335.12,2323.72,11713265.0,-21.3,-0.9,2345.19,2330.207,2356.235,10355013.6,9974537.9,11270549.0
2023-01-03,2339.98,2361.55,2356.42,2312.31,12950638.0,9.65,0.41,2350.066,2327.775,2359.143,10159255.4,9701400.5,11473453.8
2022-12-30,2361.97,2369.14,2346.77,2346.77,8708049.0,-2.61,-0.11,2345.064,2326.803,2360.177,9484887.6,9597919.8,11703171.8
2022-12-29,2328.73,2365.69,2349.38,2327.69,9005791.0,11.12,0.48,2332.948,2329.498,2362.005,9502708.8,9743131.3,11898182.4
2022-12-28,2346.04,2348.85,2338.26,2323.48,9397325.0,-21.24,-0.9,2322.136,2334.472,2363.595,9757349.8,9955806.5,12329399.55
2022-12-27,2335.57,2363.15,2359.5,2326.31,10734474.0,28.09,1.21,2315.224,2337.454,2363.947,9594062.2,10228326.0,12519576.9
2022-12-26,2290.26,2334.98,2331.41,2290.16,9578799.0,45.22,1.98,2305.484,2339.124,2362.962,9243545.6,10446927.5,12773806.1
2022-12-23,2282.32,2301.62,2286.19,2273.04,8797155.0,-9.13,-0.4,2308.542,2346.135,2361.331,9710952.0,10819685.4,12857868.4
2022-12-22,2318.71,2328.71,2295.32,2288.52,10278996.0,-8.38,-0.36,2326.048,2359.579,2362.49,9983553.8,11643068.7,12891892.45
2022-12-21,2312.52,2322.52,2303.7,2293.58,8580887.0,-7.1,-0.31,2346.808,2371.228,2364.5,10154263.2,11910766.0,12876118.55
2022-12-20,2340.51,2340.73,2310.8,2308.57,8981891.0,-35.9,-1.53,2359.684,2382.262,2366.332,10862589.8,12566560.1,13073217.55
2022-12-19,2372.93,2389.3,2346.7,2337.4,11915831.0,-27.02,-1.14,2372.764,2390.51,2367.969,11650309.4,13245507.1,13325682.3
2022-12-16,2381.68,2390.66,2373.72,2361.89,10160164.0,-25.4,-1.06,2383.728,2393.551,2369.999,11928418.8,13808423.8,13459772.5
2022-12-15,2365.23,2399.36,2399.12,2363.34,11132543.0,31.04,1.31,2393.11,2394.511,2370.801,13302583.6,14053233.5,13778643.1
2022-12-14,2384.7,2391.21,2368.08,2362.61,12122520.0,-8.12,-0.34,2395.648,2392.717,2370.138,13667268.8,14702992.6,13975282.9
2022-12-13,2403.74,2404.88,2376.2,2371.07,12920489.0,-25.32,-1.05,2404.84,2390.44,2371.88,14270530.4,14810827.8,14251414.1
2022-12-12,2409.44,2418.06,2401.52,2399.69,13306378.0,-19.11,-0.79,2408.256,2386.799,2374.656,14840704.8,15100684.7,14624038.95
2022-12-09,2412.16,2421.65,2420.63,2391.67,17030988.0,8.82,0.37,2403.374,2376.527,2373.341,15688428.8,14896051.4,14871222.85
2022-12-08,2411.8,2423.16,2411.81,2398.21,12955969.0,-2.23,-0.09,2395.912,2365.4,2372.575,14803883.4,14140716.2,15181185.25
2022-12-07,2382.56,2432.11,2414.04,2382.56,15138828.0,20.76,0.87,2389.786,2357.771,2369.841,15738716.4,13841471.1,15292846.6
2022-12-06,2366.11,2414.2,2393.28,2365.69,15771361.0,16.17,0.68,2376.04,2350.401,2369.106,15351125.2,13579875.0,15113401.25
2022-12-05,2391.1,2394.43,2377.11,2366.12,17544998.0,-6.21,-0.26,2365.342,2345.428,2371.062,15360664.6,13405857.5,14997334.5
2022-12-02,2378.4,2408.74,2383.32,2369.31,12608261.0,2.14,0.09,2349.68,2346.447,2374.941,14103674.0,13111121.2,14948404.4
2022-12-01,2386.08,2403.77,2381.18,2380.67,17630134.0,35.87,1.53,2334.888,2347.091,2378.336,13477549.0,13504052.7,15337620.05
2022-11-30,2335.95,2348.16,2345.31,2323.19,13200872.0,5.52,0.24,2325.756,2347.559,2378.08,11944225.8,13247573.2,15214250.25
2022-11-29,2301.21,2347.71,2339.79,2298.31,15819058.0,40.99,1.78,2324.762,2353.319,2379.608,11808624.8,13692000.4,15681180.45
2022-11-28,2264.83,2300.95,2298.8,2261.05,11260045.0,-10.56,-0.46,2325.514,2362.513,2379.501,11451050.4,14147393.2,15875174.15
2022-11-25,2325.57,2327.28,2309.36,2304.98,9477636.0,-26.16,-1.12,2343.214,2370.154,2377.815,12118568.4,14846394.3,16131831.7
2022-11-24,2349.27,2356.67,2335.52,2330.37,9963518.0,-4.82,-0.21,2359.294,2379.75,2374.872,13530556.4,16221654.3,16514542.9
2022-11-23,2338.86,2357.0,2340.34,2302.99,12522867.0,-3.21,-0.14,2369.362,2381.911,2374.959,14550920.6,16744222.1,17024240.7
2022-11-22,2380.71,2382.14,2343.55,2334.47,14031186.0,-43.75,-1.83,2381.876,2387.811,2376.586,15575376.0,16646927.5,17385233.45
2022-11-21,2369.76,2389.64,2387.3,2360.85,14597635.0,-2.46,-0.1,2399.512,2396.696,2375.136,16843736.0,16588811.5,17570046.05
2022-11-18,2394.31,2420.38,2389.76,2384.65,16537576.0,3.9,0.16,2397.094,2403.435,2372.613,17574220.2,16785687.6,17585754.25
2022-11-17,2389.46,2389.46,2385.86,2351.0,15065339.0,-17.05,-0.71,2400.206,2409.581,2372.883,18912752.2,17171187.4,17298210.75
2022-11-16,2427.41,2443.79,2402.91,2399.7,17645144.0,-28.82,-1.19,2394.46,2408.601,2373.676,18937523.6,17180927.3,17195452.4
2022-11-15,2373.99,2432.46,2431.73,2356.35,20372986.0,56.52,2.38,2393.746,2405.896,2374.828,17718479.0,17670360.5,16885669.8
2022-11-14,2406.87,2418.52,2375.21,2364.44,18250056.0,-30.11,-1.25,2393.88,2396.488,2375.588,16333887.0,17602955.1,16478118.55
2022-11-11,2443.11,2446.09,2405.32,2402.94,23230236.0,48.19,2.04,2409.776,2385.475,2378.579,15997155.0,17417269.1,16260213.05
2022-11-10,2380.23,2393.61,2357.13,2344.68,15189196.0,-42.21,-1.76,2418.956,2369.994,2380.024,15429622.6,16807431.5,15938125.75
2022-11-09,2422.17,2432.29,2399.34,2398.07,11549921.0,-33.06,-1.36,2422.742,2368.006,2379.702,15424331.0,17304259.3,15754517.4
2022-11-08,2452.86,2460.99,2432.4,2411.72,13450026.0,-22.29,-0.91,2418.046,2365.36,2376.9,17622242.0,18123539.4,15812627.75
2022-11-07,2447.13,2470.64,2454.69,2432.05,16566396.0,3.47,0.14,2399.096,2353.575,2368.374,18872023.2,18551280.6,15616770.9
2022-11-04,2378.42,2464.51,2451.22,2377.91,20392574.0,75.16,3.16,2361.174,2341.79,2357.452,18837383.2,18385820.9,15325575.65
2022-11-03,2352.56,2385.06,2376.06,2349.75,15162738.0,0.2,0.01,2321.032,2336.184,2349.339,18185240.4,17425234.1,14780414.25
2022-11-02,2322.98,2396.21,2375.86,2320.55,22539476.0,38.21,1.64,2313.27,2338.75,2347.186,19184187.6,17209977.5,14517004.65
2022-11-01,2270.04,2337.82,2337.65,2251.8,19698932.0,72.57,3.2,2312.674,2343.76,2344.081,18624836.8,16100979.1,13901142.45
2022-10-31,2228.62,2295.95,2265.08,2227.83,16393196.0,14.57,0.65,2308.054,2354.688,2345.936,18230538.0,15353282.0,13475579.25
2022-10-28,2309.96,2326.49,2250.51,2245.46,17131860.0,-86.74,-3.71,2322.406,2371.682,2348.834,17934258.6,15103157.0,13172549.5
2022-10-27,2377.18,2377.68,2337.25,2337.25,20157474.0,-35.63,-1.5,2351.336,2390.053,2351.504,16665227.8,15068820.0,12811071.55
2022-10-26,2324.77,2397.13,2372.88,2320.27,19742722.0,58.33,2.52,2364.23,2391.397,2350.613,15235767.4,14204775.5,12268138.45
2022-10-25,2323.84,2344.39,2314.55,2281.4,17727438.0,-22.29,-0.95,2374.846,2388.439,2348.545,13577121.4,13501716.1,11803244.1
2022-10-24,2385.82,2412.6,2336.84,2323.85,14911799.0,-58.32,-2.44,2401.322,2383.173,2351.162,12476026.0,12682261.2,11403932.5
2022-10-21,2390.41,2410.01,2395.16,2381.21,10786706.0,-6.56,-0.27,2420.958,2373.113,2351.839,12272055.4,12265330.4,11267232.9
2022-10-20,2402.76,2444.41,2401.72,2365.72,13010172.0,-24.24,-1.0,2428.77,2362.494,2350.451,13472412.2,12135594.4,11609606.8
2022-10-19,2440.03,2463.78,2425.96,2425.73,11449492.0,-20.97,-0.86,2418.564,2355.621,2351.575,13173783.6,11824031.8,11622319.7
2022-10-18,2446.36,2469.03,2446.93,2428.15,12221961.0,11.91,0.49,2402.032,2344.402,2355.468,13426310.8,11701305.8,11535702.4
