date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2023-05-04,3306.48,3352.75,3350.46,3302.03,4833649.0,27.19,0.82,3297.716,3319.574,3322.161,3930647.55,3751852.4,3599485.5
2023-04-28,3283.12,3324.88,3323.27,3283.12,4015547.75,37.39,1.14,3282.706,3323.089,3318.281,3672429.0,3671297.43,3499609.93
2023-04-27,3256.23,3299.3,3285.88,3253.11,3415905.25,21.78,0.67,3278.304,3324.577,3315.18,3644109.65,3608041.93,3448781.69
2023-04-26,3255.22,3277.98,3264.1,3239.99,3579178.5,-0.77,-0.02,3294.534,3327.825,3312.889,3661638.55,3614313.5,3426436.68
2023-04-25,3276.4,3288.57,3264.87,3229.45,3808957.25,-10.54,-0.32,3315.74,3334.133,3311.953,3638049.75,3599420.98,3395319.08
2023-04-24,3300.81,3303.09,3275.41,3264.93,3542556.25,-25.85,-0.78,3341.432,3339.003,3311.279,3573057.25,3539091.3,3373801.81
2023-04-21,3364.0,3367.61,3301.26,3301.26,3873951.0,-65.77,-1.95,3363.472,3342.998,3310.791,3670165.85,3525655.53,3358930.66
2023-04-20,3367.05,3371.37,3367.03,3344.02,3503549.75,-3.1,-0.09,3370.85,3345.637,3310.061,3571974.2,3421292.68,3318292.31
2023-04-19,3391.35,3394.96,3370.13,3364.64,3461234.5,-23.2,-0.68,3361.116,3340.197,3304.997,3566988.45,3398093.13,3288535.05
2023-04-18,3379.23,3396.17,3393.33,3375.78,3483994.75,7.72,0.23,3352.526,3334.44,3299.273,3560792.2,3437841.3,3266378.71
2023-04-17,3337.06,3385.61,3385.61,3336.39,4028099.25,47.46,1.42,3336.574,3324.747,3291.352,3505125.35,3447118.6,3288437.68
2023-04-14,3326.37,3340.08,3338.15,3316.81,3382992.75,19.79,0.6,3322.524,3313.472,3284.599,3381145.2,3327922.43,3258533.23
2023-04-13,3321.27,3334.47,3318.36,3309.25,3478621.0,-8.82,-0.27,3320.424,3305.782,3279.036,3270611.15,3289521.45,3253078.4
2023-04-12,3316.86,3330.71,3327.18,3315.4,3430253.25,13.61,0.41,3319.278,3297.952,3276.283,3229197.8,3238559.85,3231731.75
2023-04-11,3317.08,3317.45,3313.57,3298.25,3205660.5,-1.79,-0.05,3316.354,3289.772,3272.19,3314890.4,3191217.18,3220172.1
2023-04-10,3331.51,3332.72,3315.36,3309.92,3408198.5,-12.29,-0.37,3312.92,3283.555,3269.946,3389111.85,3208512.33,3207353.11
2023-04-07,3312.48,3328.85,3327.65,3308.06,2830322.5,15.02,0.45,3304.42,3278.584,3265.682,3274699.65,3192205.8,3177510.89
2023-04-06,3302.75,3314.53,3312.63,3296.06,3271554.25,0.07,0.0,3291.14,3274.484,3263.104,3308431.75,3215291.95,3168005.69
2023-04-04,3297.18,3312.56,3312.56,3290.99,3858716.25,16.16,0.49,3276.626,3269.796,3261.635,3247921.9,3178976.98,3134649.75
2023-04-03,3277.34,3299.73,3296.4,3276.42,3576767.75,23.54,0.72,3263.19,3264.105,3260.262,3067543.95,3094916.13,3136692.91
2023-03-31,3263.41,3278.42,3272.86,3260.04,2836137.5,11.61,0.36,3254.19,3257.956,3261.544,3027912.8,3129756.75,3128119.75
2023-03-30,3243.07,3263.74,3261.25,3220.98,2998983.0,21.19,0.65,3252.748,3255.725,3264.32,3109711.95,3189144.03,3158311.34
2023-03-29,3253.62,3254.56,3240.06,3229.58,2969005.0,-5.32,-0.16,3257.828,3252.289,3266.79,3122152.15,3216635.35,3172622.2
2023-03-28,3256.6,3264.1,3245.38,3241.74,2956826.5,-6.02,-0.18,3262.966,3254.614,3270.405,3110032.05,3224903.65,3183371.3
2023-03-27,3261.82,3261.82,3251.4,3229.7,3378612.0,-14.25,-0.44,3265.02,3254.607,3272.116,3122288.3,3249127.03,3161342.49
2023-03-24,3282.74,3282.74,3265.65,3260.84,3245133.25,-21.0,-0.64,3261.722,3256.337,3272.448,3231600.7,3206193.9,3113839.56
2023-03-23,3258.78,3286.65,3286.65,3252.99,3061184.0,20.9,0.64,3258.702,3252.78,3272.523,3268576.1,3162815.98,3068686.05
2023-03-22,3263.41,3279.39,3265.75,3255.74,2908404.5,10.1,0.31,3246.75,3251.724,3272.565,3311118.55,3120719.43,3046789.0
2023-03-21,3240.84,3256.0,3255.65,3237.89,3018107.75,20.74,0.64,3246.262,3253.474,3273.835,3339775.25,3090322.53,3029070.76
2023-03-20,3253.93,3267.99,3234.91,3231.65,3925174.0,-15.64,-0.48,3244.194,3256.419,3276.378,3375965.75,3178469.7,3040370.1
