date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2023-06-05,10990.73,10990.73,10946.08,10903.05,375801760.0,-51.99,-0.47,10888.69,10900.468,11004.185,397342156.8,380000640.0,377994014.4
2023-06-02,10875.31,11012.55,10998.07,10875.31,406446848.0,162.17,1.5,10863.892,10918.564,11018.17,401127206.4,376940211.2,381167001.6
2023-06-01,10758.89,10913.64,10835.9,10735.51,419041312.0,42.05,0.39,10846.208,10927.893,11027.31,391256544.0,371807625.6,382939260.8
2023-05-31,10849.81,10849.81,10793.85,10732.42,388079776.0,-75.7,-0.7,10858.344,10952.131,11049.208,382843916.8,367020160.0,386082036.8
2023-05-30,10799.4,10869.55,10869.55,10697.87,397341088.0,47.46,0.44,10883.64,10981.854,11076.449,374261267.2,360805699.2,389351673.6
2023-05-29,10942.67,10961.79,10822.09,10790.5,394727008.0,-87.56,-0.8,10912.246,11004.825,11093.822,362659123.2,356393120.0,390268884.8
2023-05-26,10889.27,10926.84,10909.65,10798.65,357093536.0,13.07,0.12,10973.236,11040.478,11112.001,352753216.0,355335052.8,392460804.8
2023-05-25,10915.12,10954.24,10896.58,10801.22,376978176.0,-23.75,-0.22,11009.578,11050.077,11123.969,352358707.2,356344396.8,397794803.2
2023-05-24,10976.73,11028.57,10920.33,10920.33,345166528.0,-92.25,-0.84,11045.918,11074.672,11144.991,351196403.2,357101526.4,400303659.2
2023-05-23,11124.26,11137.63,11012.58,11012.58,339330368.0,-114.46,-1.03,11080.068,11096.658,11171.496,347350131.2,361969683.2,407010932.8
2023-05-22,11083.38,11159.31,11127.04,11037.21,345197472.0,35.68,0.32,11097.404,11107.902,11206.73,350127116.8,375987388.8,411742081.6
2023-05-19,11061.75,11145.51,11091.36,11034.63,355120992.0,13.08,0.12,11107.72,11117.775,11238.391,357916889.6,385393792.0,415228364.8
2023-05-18,11108.33,11144.48,11078.28,11024.09,371166656.0,-12.8,-0.12,11090.576,11126.726,11276.843,360330086.4,394070896.0,417365649.6
2023-05-17,11084.56,11120.97,11091.08,11036.77,325935168.0,-8.18,-0.07,11103.426,11146.285,11315.703,363006649.6,405143913.6,419977968.0
2023-05-16,11182.36,11182.36,11099.26,11069.44,353215296.0,-79.36,-0.71,11113.248,11171.044,11351.154,376589235.2,417897648.0,425669899.2
2023-05-15,11019.7,11178.62,11178.62,10995.7,384146336.0,172.98,1.57,11118.4,11182.818,11383.183,401847660.8,424144649.6,431518918.4
2023-05-12,11131.3,11172.71,11005.64,11004.26,367186976.0,-136.89,-1.23,11127.83,11183.524,11418.427,412870694.4,429586556.8,434918052.8
2023-05-11,11158.72,11200.91,11142.53,11136.26,384549472.0,2.34,0.02,11162.876,11197.861,11462.003,427811705.6,439245209.6,437708654.4
2023-05-10,11101.01,11177.81,11140.19,11043.36,393848096.0,15.17,0.14,11189.144,11215.309,11498.473,447281177.6,443505792.0,442393518.4
2023-05-09,11208.74,11265.33,11125.02,11121.97,479507424.0,-100.75,-0.9,11228.84,11246.333,11539.85,459206060.8,452052182.4,444083308.8
2023-05-08,11206.33,11234.92,11225.77,11158.83,439261504.0,44.9,0.4,11247.236,11305.557,11576.915,446441638.4,447496774.4,442831470.4
2023-05-05,11260.62,11262.33,11180.87,11124.91,441892032.0,-93.0,-0.82,11239.218,11359.007,11608.6,446302419.2,445062937.6,446276278.4
2023-05-04,11310.35,11329.0,11273.87,11242.12,481896832.0,-64.8,-0.57,11232.846,11426.96,11644.028,450678713.6,440660403.2,449065902.4
2023-04-28,11228.46,11340.46,11338.67,11228.46,453472512.0,121.67,1.08,11241.474,11485.121,11666.654,439730406.4,434812022.4,444949808.0
2023-04-27,11140.89,11258.76,11217.0,11128.11,415685312.0,31.32,0.28,11263.826,11531.263,11682.312,444898304.0,433442150.4,441882856.0
2023-04-26,11101.18,11244.04,11185.68,11088.2,438565408.0,36.67,0.33,11363.878,11583.547,11700.458,448551910.4,438893187.2,441780003.2
2023-04-25,11307.09,11320.45,11149.01,11034.18,463773504.0,-168.0,-1.48,11478.796,11653.33,11719.396,443823456.0,440249548.8,442136662.4
2023-04-24,11442.38,11452.91,11317.01,11265.77,427155296.0,-133.42,-1.17,11621.074,11726.144,11744.343,430642092.8,436172099.2,443659683.2
2023-04-21,11729.8,11751.41,11450.43,11450.13,479312000.0,-266.83,-2.28,11728.768,11781.636,11760.203,429893638.4,441281244.8,446227672.0
2023-04-20,11751.38,11751.38,11717.26,11659.65,433953344.0,-43.01,-0.37,11798.7,11833.367,11767.946,421985996.8,436114435.2,444156854.4
2023-04-19,11844.32,11844.32,11760.27,11743.85,414923136.0,-100.13,-0.84,11803.216,11848.272,11756.93,429234464.0,438166166.4,444758329.6
2023-04-18,11834.77,11891.11,11860.4,11818.25,397866688.0,4.92,0.04,11827.864,11858.193,11740.279,436675641.6,447489619.2,443366825.6
2023-04-17,11783.68,11855.48,11855.48,11781.29,423413024.0,55.39,0.47,11831.214,11861.095,11709.615,441702105.6,457471401.6,445389524.8
2023-04-14,11760.43,11816.68,11800.09,11737.3,439773792.0,60.25,0.51,11834.504,11848.187,11680.744,452668851.2,455087593.6,444513017.6
2023-04-13,11836.82,11844.4,11739.84,11727.89,470195680.0,-143.67,-1.21,11868.034,11833.361,11652.624,450242873.6,450323561.6,440404654.4
2023-04-12,11873.26,11912.95,11883.51,11842.26,452129024.0,6.36,0.05,11893.328,11817.368,11636.304,447097868.8,444666819.2,434424352.0
2023-04-11,11866.35,11914.32,11877.15,11819.76,422999008.0,5.22,0.04,11888.522,11785.462,11612.957,458303596.8,444023776.0,431695886.4
2023-04-10,11987.68,11992.32,11871.93,11845.88,478246752.0,-95.81,-0.8,11890.976,11762.541,11594.35,473240697.6,451147267.2,428715107.2
2023-04-07,11867.87,11979.59,11967.74,11858.5,427643904.0,101.43,0.85,11861.87,11738.77,11572.881,457506336.0,451174099.2,422863622.4
2023-04-06,11787.35,11874.8,11866.31,11778.8,454470656.0,6.83,0.06,11798.688,11702.525,11553.493,450404249.6,452199273.6,417900987.2
2023-04-04,11878.16,11885.38,11859.48,11792.24,508157664.0,-29.94,-0.25,11741.408,11665.587,11540.092,442235769.6,451350492.8,410905832.0
2023-04-03,11751.68,11898.76,11889.42,11751.68,497684512.0,163.02,1.39,11682.402,11622.364,11527.547,429743955.2,439244032.0,405946305.6
2023-03-31,11666.31,11737.28,11726.4,11657.57,399574944.0,74.57,0.64,11634.106,11558.135,11525.22,429053836.8,433307648.0,400354244.8
2023-03-30,11578.33,11656.48,11651.83,11505.55,392133472.0,71.92,0.62,11615.67,11513.3,11531.496,444841862.4,433938441.6,399719814.4
2023-03-29,11584.91,11623.43,11579.91,11538.17,413628256.0,15.46,0.13,11606.362,11471.887,11541.38,453994297.6,430485747.2,401662292.8
2023-03-28,11637.51,11649.15,11564.45,11548.42,445698592.0,-83.49,-0.72,11589.766,11455.239,11558.101,460465216.0,424181884.8,401744569.6
2023-03-27,11621.92,11659.0,11647.94,11558.38,494233920.0,13.72,0.12,11562.326,11440.451,11569.068,448744108.8,419367996.8,396792763.2
2023-03-24,11616.46,11648.54,11634.22,11581.42,478515072.0,28.93,0.25,11482.164,11426.159,11571.769,437561459.2,406282947.2,388970851.2
2023-03-23,11457.79,11605.29,11605.29,11442.95,437895648.0,108.36,0.94,11410.93,11406.991,11579.43,423035020.8,394553145.6,381365372.8
2023-03-22,11459.83,11521.42,11496.93,11448.19,445982848.0,69.68,0.61,11337.412,11404.461,11593.381,406977196.8,383602700.8,378605683.2
2023-03-21,11270.07,11427.25,11427.25,11270.07,387093056.0,180.12,1.6,11320.712,11414.597,11613.54,387898553.6,370461171.2,374786235.2
2023-03-20,11289.96,11342.03,11247.13,11231.01,438320672.0,-30.92,-0.27,11318.576,11432.73,11640.608,389991884.8,372648579.2,376939401.6
2023-03-17,11328.37,11388.52,11278.05,11245.15,405882880.0,40.35,0.36,11370.154,11492.305,11675.958,375004435.2,367400841.6,376947720.0
2023-03-16,11336.75,11381.73,11237.7,11223.1,357606528.0,-175.73,-1.54,11403.052,11549.692,11697.844,366071270.4,365501187.2,379278689.6
2023-03-15,11485.95,11537.72,11413.43,11408.19,350589632.0,-3.14,-0.03,11471.51,11610.873,11731.329,360228204.8,372838838.4,391553844.8
2023-03-14,11483.65,11486.56,11416.57,11282.58,397559712.0,-88.45,-0.77,11508.482,11660.962,11763.876,353023788.8,379307254.4,397236217.6
2023-03-13,11405.14,11511.12,11505.02,11396.61,363383424.0,62.48,0.55,11546.884,11697.685,11797.795,355305273.6,374217529.6,399763220.8
2023-03-10,11513.66,11535.54,11442.54,11437.99,361217056.0,-137.45,-1.19,11614.456,11717.378,11828.224,359797248.0,371658755.2,404919059.2
2023-03-09,11605.94,11637.03,11579.99,11525.23,328391200.0,-18.3,-0.16,11696.332,11751.869,11854.94,364931104.0,368177600.0,409766382.4
2023-03-08,11566.57,11617.94,11598.29,11534.67,314567552.0,-10.29,-0.09,11750.236,11782.3,11878.354,385449472.0,373608665.6,415474403.2
2023-03-07,11824.17,11839.61,11608.58,11606.19,408967136.0,-234.3,-1.98,11813.442,11812.483,11891.112,405590720.0,379111299.2,421159638.4
2023-03-06,11850.82,11862.37,11842.88,11742.13,385843296.0,-9.04,-0.08,11848.486,11848.485,11907.027,393129785.6,381230224.0,422752384.0
2023-03-03,11862.16,11895.97,11851.92,11770.34,386886336.0,2.41,0.02,11820.3,11859.61,11910.511,383520262.4,386494598.4,424671214.4
2023-03-02,11902.17,11929.15,11849.51,11837.12,430983040.0,-64.81,-0.54,11807.406,11845.995,11920.63,371424096.0,393056192.0,427726520.0
2023-03-01,11783.76,11931.1,11914.32,11751.36,415273792.0,130.52,1.11,11814.364,11851.784,11934.715,361767859.2,410268851.2,430714136.0
2023-02-28,11745.16,11792.68,11783.8,11666.37,346662464.0,81.85,0.7,11811.524,11866.79,11946.908,352631878.4,415165180.8,434883281.6
2023-02-27,11728.09,11781.28,11701.95,11678.8,337795680.0,-85.5,-0.72,11848.484,11897.904,11957.781,369330662.4,425308912.0,439822657.6
2023-02-24,11887.77,11889.24,11787.45,11742.73,326405504.0,-96.85,-0.81,11898.92,11939.07,11977.572,389468934.4,438179363.2,447229152.0
